name,street,locality,region,postal_code,latitude,longitude,url
The Falls,8888 SW 136th Street,Miami,FL,33176,25.643719563754,-80.33814594377,https://www.apple.com/retail/thefalls/
Lincoln Road,1021 Lincoln Road,Miami Beach,FL,33139,25.79102,-80.139364,https://www.apple.com/retail/lincolnroad/
Waterside Shops,5555 Tamiami Trail North,Naples,FL,34108,26.2132,-81.8017,https://www.apple.com/retail/watersideshops/
Millenia,4200 Conroy Road,Orlando,FL,32839,28.486,-81.43174,https://www.apple.com/retail/millenia/
Florida Mall,8001 S. Orange Blossom Trail,Orlando,FL,32809,28.445141,-81.394177,https://www.apple.com/retail/floridamall/
The Gardens Mall,3101 PGA Boulevard,Palm Beach Gardens,FL,33410,26.84865,-80.0848,https://www.apple.com/retail/thegardensmall/
University Town Center,140 University Town Center Dr,Sarasota,FL,34243,27.38493,-82.45268,https://www.apple.com/retail/universitytowncenter/
International Plaza,2223 N West Shore Boulevard,Tampa,FL,33607,27.96408,-82.51952,https://www.apple.com/retail/internationalplaza/
Wellington Green,10300 W. Forest Hill Blvd,Wellington,FL,33414,26.647028,-80.208856,https://www.apple.com/retail/wellingtongreen/
Avalon,8130 Avalon Boulevard,Alpharetta,GA,30009,34.07062236953,-84.274814128876,https://www.apple.com/retail/avalon/
Perimeter,4400 Ashford Dunwoody Road,Atlanta,GA,30346,33.92409,-84.34062,https://www.apple.com/retail/perimeter/
Lenox Square,3393 Peachtree Road NE,Atlanta,GA,30326,33.847941,-84.363533,https://www.apple.com/retail/lenoxsquare/
Cumberland Mall,2860 Cumberland Mall,Atlanta,GA,30339,33.88024,-84.46835,https://www.apple.com/retail/cumberlandmall/
Augusta,3450 Wrightsboro Road,Augusta,GA,30909,33.46575,-82.08065,https://www.apple.com/retail/augusta/
Mall of Georgia,3333 Buford Drive,Buford,GA,30519,34.06567,-83.98333,https://www.apple.com/retail/mallofgeorgia/
Royal Hawaiian,2301 Kalakaua Avenue,Honolulu,HI,96815,21.278075,-157.828165,https://www.apple.com/retail/royalhawaiian/
Kahala,4211 Waialae Avenue,Honolulu,HI,96816,21.277081111189,-157.78698547723,https://www.apple.com/retail/kahala/
Ala Moana,1450 Ala Moana Boulevard,Honolulu,HI,96814,21.29023622211,-157.842305770593,https://www.apple.com/retail/alamoana/
Boise Towne Square,350 North Milwaukee Street,Boise,ID,83704,43.60841,-116.2782,https://www.apple.com/retail/boisetownesquare/
Lincoln Park,801 W. North Avenue,Chicago,IL,60642,41.91062,-87.64856,https://www.apple.com/retail/lincolnpark/
Michigan Avenue,401 North Michigan Avenue,Chicago,IL,60611,41.88929,-87.6237,https://www.apple.com/retail/michiganavenue/
Deer Park,20530 N. Rand Road,Deer Park,IL,60010,42.1605,-88.0554,https://www.apple.com/retail/deerpark/
Main Place,120 West Jefferson Avenue,Naperville,IL,60540,41.7728,-88.15037,https://www.apple.com/retail/mainplace/
Northbrook,1056 Northbrook Court,Northbrook,IL,60062,42.15048,-87.81709,https://www.apple.com/retail/northbrook/
Oakbrook,70 Oakbrook Center,Oak Brook,IL,60523,41.84972,-87.9537,https://www.apple.com/retail/oakbrook/
Orland Square Mall,288 Orland Square Drive,Orland Park,IL,60462,41.6193,-87.8479,https://www.apple.com/retail/orlandsquaremall/
Woodfield,N311 Woodfield Mall,Schaumburg,IL,60173,42.0456619,-88.0388,https://www.apple.com/retail/woodfield/
Old Orchard,4999 Old Orchard Center,Skokie,IL,60077,42.057204,-87.749956,https://www.apple.com/retail/oldorchard/
The Fashion Mall at Keystone,8702 Keystone Crossing,Indianapolis,IN,46240,39.9141,-86.11181,https://www.apple.com/retail/thefashionmallatkeystone/
University Park Mall,6501 North Grape Road,Mishawaka,IN,46545,41.71847,-86.19101,https://www.apple.com/retail/universityparkmall/
Jordan Creek,101 Jordan Creek Parkway,West Des Moines,IA,50266,41.570044,-93.803773,https://www.apple.com/retail/jordancreek/
Leawood,4529 West 119th Street,Leawood,KS,66209,38.91131,-94.6378,https://www.apple.com/retail/leawood/
Fritz Farm,4078 Finn Way,Lexington,KY,40517,37.977139,-84.528169,https://www.apple.com/retail/fritzfarm/
Oxmoor,7900 Shelbyville Road,Louisville,KY,40222,38.247278,-85.609467,https://www.apple.com/retail/oxmoor/
Mall of Louisiana,6401 Bluebonnet Boulevard,Baton Rouge,LA,70836,30.38801,-91.08676,https://www.apple.com/retail/malloflouisiana/
Lakeside Shopping Center,3301 Veterans Memorial Blvd,Metairie,LA,70002,30.006032950925,-90.157173201422,https://www.apple.com/retail/lakesideshoppingcenter/
Maine Mall,364 Maine Mall Road,South Portland,ME,04106,43.633574,-70.334645,https://www.apple.com/retail/mainemall/
Annapolis,1735 Annapolis Mall,Annapolis,MD,21401,38.990536,-76.54414,https://www.apple.com/retail/annapolis/
Bethesda Row,4860 Bethesda Avenue,Bethesda,MD,20814,38.980647104108,-77.09770810408,https://www.apple.com/retail/bethesdarow/
Montgomery Mall,7101 Democracy Boulevard,Bethesda,MD,20817,39.024365,-77.146182,https://www.apple.com/retail/montgomerymall/
Columbia,10300 Little Patuxent Parkway,Columbia,MD,21044,39.216,-76.85995,https://www.apple.com/retail/columbia/
